id,name,furigana,category,region,rank,startDate,work,postalCode,address,phoneNumber,url,benefit,comment,isActive,createdAt,updatedAt,updatedBy,continuationYears
1,第一工業株式会社,,建設関係,道北,ブロンズ,2013-01-01 00:00:00,防水工事他建設業,090-0806,北見市南町1丁目8番33号,0157-23-4155,http://www.ichiko.co.jp/,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,8
2,札幌日信電子株式会社,,建設関係,道央,ブロンズ,2013-01-01 00:00:00,総合設備業,062-0054,札幌市豊平区月寒東4条8丁目6番5号,011-855-6781,http://www.sapporo-nisshin.co.jp,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,8
3,グローバルシステム有限会社,,建設関係,道央,ブロンズ,2014-01-01 00:00:00,電気通信工事業,007-0812,札幌市東区東苗穂12条1丁目8-13,011-792-4434,http://www.global-sys.info,,サポーターと言って頂ければ、何か割引します。,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,7
4,株式会社　日星電機,,建設関係,道央,ブロンズ,2014-01-01 00:00:00,建設業・産業機器販売,060-0906,札幌市東区北6条東4丁目8番地の16,011-731-7231,http://www.nissei-d.co.jp/,,信頼と実績を礎に、豊かな自然環境とイノベーションによる快適な生活環境を求めて。,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,7
6,SOYO株式会社,,建設関係,道央,ブロンズ,2015-01-01 00:00:00,建設業,006-0001,札幌市手稲区西宮の沢1条2丁目3-18,011-669-1515,,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,6
7,豊頃町立豊頃医院,,病院・医療,道東,ブロンズ,2009-01-01 00:00:00,医院,089-5313,中川郡豊頃町茂岩栄町107番地17,015-574-2020,,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,12
8,JERSEY　CAFE（ジャージーカフェ）,じゃー,飲料・食品,道央,ブロンズ,2018-01-01 00:00:00,スポーツバー,060-0007,札幌市北区北7条西5丁目6-2,011-738-8550,https://www.hotpepper.jp/strJ000621963/appearance/,ホームゲーム観戦帰りのお客様お会計より10％OFF,サッポロクラシックをはじめ世界のビールが50種類以上飲めるスポーツバー,1,2020-02-12 14:03:56,2020-03-10 13:57:58,18,3
10,株式会社　タイヤ工房,,卸売・小売,道央,ブロンズ,2016-01-01 00:00:00,タイヤ・ホイール販売,001-0032,札幌市北区北32条西9丁目5-18,011-738-0610,http://www.tire-kobo.com,,タイヤ・ホイールのことなら『タイヤ工房』へ！あなたの車の足元に安心をお届け致します。,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,5
11,株式会社　クリアリンク,くりありんく,建設関係,道央,プラチナ,2016-01-01 00:00:00,水道修理業,003-0021,札幌市白石区栄通18丁目5-60,0120-177-026,http://clearlink.co.jp,水道修理のご依頼で作業工賃 3000円OFF,水漏れ、詰まり、水道修理なら24時間 年中無休のクリアリンクへお電話ください,1,2020-02-12 14:03:56,2020-03-09 11:36:31,18,5
14,アパマンショップ宮の沢店,あぱまんみやのさわ,不動産業,道央,ブロンズ,2016-01-01 00:00:00,不動産業,063-0826,札幌市西区発寒6条9丁目2-15,011-667-8900,http://www.apaman-nihonchiken.com,札幌市内全てのお部屋を仲介無料で紹介いたします,おかげさまで創業40年、今年も熱くコンサをサポート,1,2020-02-12 14:03:56,2020-03-10 10:17:55,18,5
16,亀田実業株式会社,,不動産業,道央,シルバー,2017-01-01 00:00:00,不動産業,060-0806,札幌市北区北6条西1丁目4-2,011-792-5048,,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,4
18,マンパワーグループ株式会社,まんぱわ,その他,道央,シルバー,2017-01-01 00:00:00,IT関連サービス,060-0003,札幌市中央区北3条西4丁目１,011-209-0450,http://www.manpowergroup.jp/,,,1,2020-02-12 14:03:56,2020-03-10 13:20:48,18,4
19,共通運送株式会社,,その他,道央,ブロンズ,2000-01-01 00:00:00,運送業・倉庫業,003-0029,札幌市白石区平和通11丁目北6番19号,011-862-8288,http://www.kyotsu.co.jp/,,,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,21
20,北海道自動車リース株式会社,ほっかいどうじどうしゃり,その他,道央,ゴールド,2017-01-01 00:00:00,車輌リース・レンタカー,003-0026,札幌市白石区本通14丁目南5番15号,011-868-8111,,,,1,2020-02-12 14:03:56,2020-03-09 14:02:40,18,4
21,株式会社　ファースト・シンボリー,,その他,道外,シルバー,2015-01-01 00:00:00,広告デザイン・HP制作、販売促進、コンサルティング,,104-0032　東京都中央区八丁掘4-12-7　サニービル7F,03-3555-9551,http://www.firstsymboly.com,,ホームページ制作料30%OFF,1,2020-02-12 14:03:56,2020-02-12 14:03:56,0,6
22,有田税理士事務所,ありた,法律関係,道央,ブロンズ,2017-01-01 00:00:00,税理士,064-0918,札幌市中央区南18条西14丁目1-23 カサ・デ・バリオ2F,011-303-1188,http://www.arita-tax.jp/,コンサポ割、始めました。,貴方の税のお悩みとコンサ愛は、当事務所へお任せあれ。,1,2020-02-12 14:03:56,2020-03-10 13:25:25,18,4
